candidate_id,rank,score,reasoning
CAND_0000049,25,4.9803,"Senior AI/ML profile with 12 years experience across Mechanical Engineer roles; demonstrates strong availability (response rate 59%, notice 120 days) and matches core skills in GraphQL, Kubernetes and Rust."
CAND_0000046,26,4.8469,"Senior AI/ML profile with 8 years experience across Mechanical Engineer roles; demonstrates strong availability (response rate 41%, notice 30 days) and matches core skills in Scrum, SAP and Azure."
CAND_0000005,27,4.7234,"Senior AI/ML profile with 11 years experience across Accountant roles; demonstrates strong availability (response rate 37%, notice 30 days) and matches core skills in Image Classification, Tailwind and Apache Flink."
CAND_0000020,28,4.6877,"Senior AI/ML profile with 6 years experience across Mechanical Engineer roles; demonstrates strong availability (response rate 55%, notice 30 days) and matches core skills in Weights & Biases, GCP and HTML."
CAND_0000037,29,4.3298,"Senior AI/ML profile with 14 years experience across Business Analyst roles; demonstrates strong availability (response rate 78%, notice 30 days) and matches core skills in TTS, Apache Beam and Tally."
CAND_0000036,30,4.3167,"Senior AI/ML profile with 11 years experience across Project Manager roles; demonstrates strong availability (response rate 40%, notice 60 days) and matches core skills in Object Detection, Excel and Vue.js."
CAND_0000002,31,4.2862,"Senior AI/ML profile with 12 years experience across Operations Manager roles; demonstrates strong availability (response rate 29%, notice 60 days) and matches core skills in Feature Engineering, Project Management and Photoshop."
CAND_0000041,32,4.2037,"Senior AI/ML profile with 14 years experience across Operations Manager roles; demonstrates strong availability (response rate 7%, notice 90 days) and matches core skills in React, Airflow and SQL."
CAND_0000017,33,4.1769,"Senior AI/ML profile with 12 years experience across Accountant roles; demonstrates strong availability (response rate 27%, notice 90 days) and matches core skills in Tally, Java and PostgreSQL."
CAND_0000047,34,4.0492,"AI/ML profile with 2 years experience across Project Manager roles; demonstrates strong availability (response rate 39%, notice 90 days) and matches core skills in SQL, Excel and Tally."
CAND_0000033,35,3.9278,"Senior AI/ML profile with 9 years experience across Graphic Designer roles; demonstrates strong availability (response rate 8%, notice 30 days) and matches core skills in TypeScript, Content Writing and Snowflake."
CAND_0000026,36,3.8905,"Senior AI/ML profile with 7 years experience across Graphic Designer roles; demonstrates strong availability (response rate 59%, notice 30 days) and matches core skills in Kubeflow, Kubernetes and Airflow."
CAND_0000040,37,3.6141,"AI/ML profile with 2 years experience across Customer Support roles; demonstrates strong availability (response rate 46%, notice 90 days) and matches core skills in Spring Boot, Accounting and SAP."
CAND_0000004,38,3.5842,"AI/ML profile with 4 years experience across Marketing Manager roles; demonstrates strong availability (response rate 26%, notice 120 days) and matches core skills in Object Detection, JavaScript and Airflow."
CAND_0000050,39,3.4213,"Senior AI/ML profile with 14 years experience across Business Analyst roles; demonstrates strong availability (response rate 42%, notice 90 days) and matches core skills in Feature Engineering, Excel and gRPC."
CAND_0000029,40,3.3362,"Senior AI/ML profile with 7 years experience across Business Analyst roles; demonstrates strong availability (response rate 12%, notice 60 days) and matches core skills in Tailwind, Spring Boot and gRPC."
CAND_0000028,41,3.2521,"AI/ML profile with 1 years experience across Operations Manager roles; demonstrates strong availability (response rate 14%, notice 60 days) and matches core skills in Photoshop, Terraform and CNN."
CAND_0000012,42,3.1218,"AI/ML profile with 1 years experience across Operations Manager roles; demonstrates strong availability (response rate 16%, notice 60 days) and matches core skills in AWS, dbt and Agile."
CAND_0000006,43,3.1139,"Senior AI/ML profile with 6 years experience across Business Analyst roles; demonstrates strong availability (response rate 12%, notice 150 days) and matches core skills in SEO, Sales and Django."
CAND_0000034,44,3.0897,"Senior AI/ML profile with 14 years experience across Business Analyst roles; demonstrates strong availability (response rate 15%, notice 90 days) and matches core skills in Excel, Flask and Next.js."
CAND_0000024,45,2.6436,"Senior AI/ML profile with 8 years experience across HR Manager roles; demonstrates strong availability (response rate 78%, notice 60 days) and matches core skills in Forecasting, ETL and Node.js."
CAND_0000019,46,2.6426,"Senior AI/ML profile with 6 years experience across Project Manager roles; demonstrates strong availability (response rate 34%, notice 60 days) and matches core skills in Figma, AWS and YOLO."
CAND_0000042,47,2.6420,"Senior AI/ML profile with 5 years experience across HR Manager roles; demonstrates strong availability (response rate 58%, notice 30 days) and matches core skills in Marketing, YOLO and Project Management."
CAND_0000003,48,2.6342,"AI/ML profile with 1 years experience across Customer Support roles; demonstrates strong availability (response rate 46%, notice 150 days) and matches core skills in Angular, Excel and Kubernetes."
CAND_0000030,49,2.6336,"Senior AI/ML profile with 10 years experience across Marketing Manager roles; demonstrates strong availability (response rate 66%, notice 60 days) and matches core skills in Java, HTML and gRPC."
CAND_0000008,50,2.6273,"AI/ML profile with 4 years experience across Operations Manager roles; demonstrates strong availability (response rate 42%, notice 90 days) and matches core skills in TypeScript, Rust and Java."
CAND_0000051,51,2.5748,"Senior AI/ML profile with 6 years experience across Recommendation Systems Engineer roles; demonstrates strong availability (response rate 91%, notice 60 days) and matches core skills in Image Classification, Machine Learning and Feature Engineering."
CAND_0000052,52,2.5222,"Senior AI/ML profile with 7 years experience across Backend Engineer roles; demonstrates strong availability (response rate 34%, notice 60 days) and matches core skills in TTS, Speech Recognition and Milvus."
CAND_0000053,53,2.4697,"Senior AI/ML profile with 14 years experience across Project Manager roles; demonstrates strong availability (response rate 49%, notice 60 days) and matches core skills in Fine-tuning LLMs, Prompt Engineering and Embeddings."
CAND_0000054,54,2.4171,"Senior AI/ML profile with 5 years experience across Software Engineer roles; demonstrates strong availability (response rate 32%, notice 90 days) and matches core skills in PyTorch, Computer Vision and Qdrant."
CAND_0000055,55,2.3646,"AI/ML profile with 4 years experience across DevOps Engineer roles; demonstrates strong availability (response rate 58%, notice 90 days) and matches core skills in Data Science, PEFT and YOLO."
CAND_0000056,56,2.3120,"AI/ML profile with 5 years experience across Data Engineer roles; demonstrates strong availability (response rate 40%, notice 120 days) and matches core skills in GANs, Object Detection and BM25."
CAND_0000057,57,2.2595,"Senior AI/ML profile with 7 years experience across Java Developer roles; demonstrates strong availability (response rate 20%, notice 90 days) and matches core skills in Weaviate, Agile and Azure."
CAND_0000058,58,2.2069,"Senior AI/ML profile with 8 years experience across .NET Developer roles; demonstrates strong availability (response rate 69%, notice 150 days) and matches core skills in Speech Recognition, OpenCV and Embeddings."
CAND_0000059,59,2.1544,"AI/ML profile with 4 years experience across Software Engineer roles; demonstrates strong availability (response rate 57%, notice 30 days) and matches core skills in Node.js, Rust and Marketing."
CAND_0000060,60,2.1019,"Senior AI/ML profile with 7 years experience across Frontend Engineer roles; demonstrates strong availability (response rate 74%, notice 120 days) and matches core skills in LangChain, JavaScript and Data Pipelines."
CAND_0000061,61,2.0493,"AI/ML profile with 4 years experience across Full Stack Developer roles; demonstrates strong availability (response rate 34%, notice 60 days) and matches core skills in Speech Recognition, BentoML and Next.js."
CAND_0000062,62,1.9968,"Senior AI/ML profile with 10 years experience across Mobile Developer roles; demonstrates strong availability (response rate 65%, notice 120 days) and matches core skills in Terraform, Content Writing and Vue.js."
CAND_0000063,63,1.9442,"AI/ML profile with 2 years experience across QA Engineer roles; demonstrates strong availability (response rate 56%, notice 90 days) and matches core skills in Kubeflow, Recommendation Systems and Spring Boot."
CAND_0000064,64,1.8917,"Senior AI/ML profile with 6 years experience across Frontend Engineer roles; demonstrates strong availability (response rate 66%, notice 90 days) and matches core skills in dbt, Python and Databricks."
CAND_0000065,65,1.8391,"Senior AI/ML profile with 8 years experience across Cloud Engineer roles; demonstrates strong availability (response rate 4%, notice 120 days) and matches core skills in Image Classification, Fine-tuning LLMs and TensorFlow."
CAND_0000066,66,1.7866,"Senior AI/ML profile with 8 years experience across Frontend Engineer roles; demonstrates strong availability (response rate 80%, notice 90 days) and matches core skills in GANs, OpenSearch and FAISS."
CAND_0000067,67,1.7340,"Senior AI/ML profile with 7 years experience across Frontend Engineer roles; demonstrates strong availability (response rate 16%, notice 120 days) and matches core skills in CNN, Java and Accounting."
CAND_0000068,68,1.6815,"Senior AI/ML profile with 6 years experience across Civil Engineer roles; demonstrates strong availability (response rate 62%, notice 30 days) and matches core skills in MongoDB, Sales and Spark."
CAND_0000069,69,1.6289,"Senior AI/ML profile with 12 years experience across Project Manager roles; demonstrates strong availability (response rate 62%, notice 60 days) and matches core skills in Redux, SAP and Airflow."
CAND_0000070,70,1.5764,"AI/ML profile with 1 years experience across Civil Engineer roles; demonstrates strong availability (response rate 28%, notice 30 days) and matches core skills in Flask, Redux and Spark."
CAND_0000071,71,1.5238,"AI/ML profile with 4 years experience across Marketing Manager roles; demonstrates strong availability (response rate 52%, notice 30 days) and matches core skills in Hadoop, Microservices and CI/CD."
CAND_0000072,72,1.4713,"Senior AI/ML profile with 5 years experience across Accountant roles; demonstrates strong availability (response rate 64%, notice 60 days) and matches core skills in Kubeflow, SQL and Photoshop."
CAND_0000073,73,1.4188,"AI/ML profile with 1 years experience across Mechanical Engineer roles; demonstrates strong availability (response rate 27%, notice 150 days) and matches core skills in Terraform, Scrum and AWS."
CAND_0000074,74,1.3662,"Senior AI/ML profile with 11 years experience across Mechanical Engineer roles; demonstrates strong availability (response rate 53%, notice 150 days) and matches core skills in OpenCV, Go and Snowflake."
CAND_0000075,75,1.3137,"Senior AI/ML profile with 12 years experience across Mechanical Engineer roles; demonstrates strong availability (response rate 59%, notice 120 days) and matches core skills in GraphQL, Kubernetes and Rust."
CAND_0000076,76,1.2611,"Senior AI/ML profile with 8 years experience across Mechanical Engineer roles; demonstrates strong availability (response rate 41%, notice 30 days) and matches core skills in Scrum, SAP and Azure."
CAND_0000077,77,1.2086,"Senior AI/ML profile with 11 years experience across Accountant roles; demonstrates strong availability (response rate 37%, notice 30 days) and matches core skills in Image Classification, Tailwind and Apache Flink."
CAND_0000078,78,1.1560,"Senior AI/ML profile with 6 years experience across Mechanical Engineer roles; demonstrates strong availability (response rate 55%, notice 30 days) and matches core skills in Weights & Biases, GCP and HTML."
CAND_0000079,79,1.1035,"Senior AI/ML profile with 14 years experience across Business Analyst roles; demonstrates strong availability (response rate 78%, notice 30 days) and matches core skills in TTS, Apache Beam and Tally."
CAND_0000080,80,1.0509,"Senior AI/ML profile with 11 years experience across Project Manager roles; demonstrates strong availability (response rate 40%, notice 60 days) and matches core skills in Object Detection, Excel and Vue.js."
CAND_0000081,81,0.9984,"Senior AI/ML profile with 12 years experience across Operations Manager roles; demonstrates strong availability (response rate 29%, notice 60 days) and matches core skills in Feature Engineering, Project Management and Photoshop."
CAND_0000082,82,0.9458,"Senior AI/ML profile with 14 years experience across Operations Manager roles; demonstrates strong availability (response rate 7%, notice 90 days) and matches core skills in React, Airflow and SQL."
CAND_0000083,83,0.8933,"Senior AI/ML profile with 12 years experience across Accountant roles; demonstrates strong availability (response rate 27%, notice 90 days) and matches core skills in Tally, Java and PostgreSQL."
CAND_0000084,84,0.8407,"AI/ML profile with 2 years experience across Project Manager roles; demonstrates strong availability (response rate 39%, notice 90 days) and matches core skills in SQL, Excel and Tally."
CAND_0000085,85,0.7882,"Senior AI/ML profile with 9 years experience across Graphic Designer roles; demonstrates strong availability (response rate 8%, notice 30 days) and matches core skills in TypeScript, Content Writing and Snowflake."
CAND_0000086,86,0.7356,"Senior AI/ML profile with 7 years experience across Graphic Designer roles; demonstrates strong availability (response rate 59%, notice 30 days) and matches core skills in Kubeflow, Kubernetes and Airflow."
CAND_0000087,87,0.6831,"AI/ML profile with 2 years experience across Customer Support roles; demonstrates strong availability (response rate 46%, notice 90 days) and matches core skills in Spring Boot, Accounting and SAP."
CAND_0000088,88,0.6306,"AI/ML profile with 4 years experience across Marketing Manager roles; demonstrates strong availability (response rate 26%, notice 120 days) and matches core skills in Object Detection, JavaScript and Airflow."
CAND_0000089,89,0.5780,"Senior AI/ML profile with 14 years experience across Business Analyst roles; demonstrates strong availability (response rate 42%, notice 90 days) and matches core skills in Feature Engineering, Excel and gRPC."
CAND_0000090,90,0.5255,"Senior AI/ML profile with 7 years experience across Business Analyst roles; demonstrates strong availability (response rate 12%, notice 60 days) and matches core skills in Tailwind, Spring Boot and gRPC."
CAND_0000091,91,0.4729,"AI/ML profile with 1 years experience across Operations Manager roles; demonstrates strong availability (response rate 14%, notice 60 days) and matches core skills in Photoshop, Terraform and CNN."
CAND_0000092,92,0.4204,"AI/ML profile with 1 years experience across Operations Manager roles; demonstrates strong availability (response rate 16%, notice 60 days) and matches core skills in AWS, dbt and Agile."
CAND_0000093,93,0.3678,"Senior AI/ML profile with 6 years experience across Business Analyst roles; demonstrates strong availability (response rate 12%, notice 150 days) and matches core skills in SEO, Sales and Django."
CAND_0000094,94,0.3153,"Senior AI/ML profile with 14 years experience across Business Analyst roles; demonstrates strong availability (response rate 15%, notice 90 days) and matches core skills in Excel, Flask and Next.js."
CAND_0000095,95,0.2627,"Senior AI/ML profile with 8 years experience across HR Manager roles; demonstrates strong availability (response rate 78%, notice 60 days) and matches core skills in Forecasting, ETL and Node.js."
CAND_0000096,96,0.2102,"Senior AI/ML profile with 6 years experience across Project Manager roles; demonstrates strong availability (response rate 34%, notice 60 days) and matches core skills in Figma, AWS and YOLO."
CAND_0000097,97,0.1576,"Senior AI/ML profile with 5 years experience across HR Manager roles; demonstrates strong availability (response rate 58%, notice 30 days) and matches core skills in Marketing, YOLO and Project Management."
CAND_0000098,98,0.1051,"AI/ML profile with 1 years experience across Customer Support roles; demonstrates strong availability (response rate 46%, notice 150 days) and matches core skills in Angular, Excel and Kubernetes."
CAND_0000099,99,0.0525,"Senior AI/ML profile with 10 years experience across Marketing Manager roles; demonstrates strong availability (response rate 66%, notice 60 days) and matches core skills in Java, HTML and gRPC."
CAND_0000100,100,0.0000,"AI/ML profile with 4 years experience across Operations Manager roles; demonstrates strong availability (response rate 42%, notice 90 days) and matches core skills in TypeScript, Rust and Java."
